turn,player,move,time_seconds,memory_bytes,memory_mb,memory_limit_mb,time_limit,is_first_turn,violation
1,bot032,5 0 5 6 0 6,0.817744416068308,504692736,481.3125,512.0,2.0,True,none
2,bot,7 5 5 3 3 3,0.0018778329249471426,0,0.0,512.0,2.0,True,none
3,bot032,2 0 2 5 1 4,0.9376471659634262,491290624,468.53125,512.0,1.0,False,none
4,bot,5 3 3 1 7 1,0.0018152500269934535,0,0.0,512.0,1.0,False,none
5,bot032,7 2 5 2 5 4,0.9368347499985248,445562880,424.921875,512.0,1.0,False,none
6,bot,2 7 3 6 2 7,0.0017904170090332627,0,0.0,512.0,1.0,False,none
7,bot032,0 2 2 2 0 4,0.9358488749712706,372441088,355.1875,512.0,1.0,False,none
8,bot,3 1 4 1 5 1,0.0018501250306144357,0,0.0,512.0,1.0,False,none
9,bot032,2 2 2 1 3 2,0.9358922078972682,320946176,306.078125,512.0,1.0,False,none
10,bot,4 1 4 4 4 6,0.0017995830858126283,0,0.0,512.0,1.0,False,none
11,bot032,5 2 5 3 4 3,0.9353127919603139,242188288,230.96875,512.0,1.0,False,none
12,bot,5 7 7 7 3 7,0.0018452920485287905,0,0.0,512.0,1.0,False,none
13,bot032,5 6 6 6 7 6,0.9342600830132142,193363968,184.40625,512.0,1.0,False,none
14,bot,3 6 4 7 6 7,0.0017240829765796661,0,0.0,512.0,1.0,False,none
15,bot032,6 6 5 6 6 6,0.9331799580249935,147947520,141.09375,512.0,1.0,False,none
16,bot,4 4 3 5 3 6,0.0018072089878842235,0,0.0,512.0,1.0,False,none
17,bot032,2 5 1 6 1 5,0.9331388329155743,112869376,107.640625,512.0,1.0,False,none
18,bot,3 5 7 5 2 5,0.0017545419977977872,0,0.0,512.0,1.0,False,none
19,bot032,5 3 6 3 5 3,0.9325219580205157,93454336,89.125,512.0,1.0,False,none
20,bot,7 5 3 5 3 4,0.0018769589951261878,0,0.0,512.0,1.0,False,none
21,bot032,2 1 2 2 2 4,0.9330666250316426,83591168,79.71875,512.0,1.0,False,none
22,bot,3 5 5 5 4 5,0.001732375007122755,0,0.0,512.0,1.0,False,none
23,bot032,5 6 6 5 6 4,0.9330475000897422,89980928,85.8125,512.0,1.0,False,none
24,bot,5 5 4 4 5 5,0.001787999994121492,0,0.0,512.0,1.0,False,none
25,bot032,1 6 2 6 1 6,0.9317964169895276,20086784,19.15625,512.0,1.0,False,none
26,bot,4 7 5 7 4 7,0.001783834071829915,0,0.0,512.0,1.0,False,none
27,bot032,6 5 5 6 6 5,0.931859708041884,2228224,2.125,512.0,1.0,False,none
28,bot,4 4 3 5 4 4,0.001808707951568067,0,0.0,512.0,1.0,False,none
29,bot032,6 3 6 0 2 0,0.9317529170075431,1392640,1.328125,512.0,1.0,False,none
30,bot,,0.0017946249572560191,0,0.0,512.0,1.0,False,none
